Python|Python is an interpreted, high-level, general-purpose programming language. Created by Guido van Rossum and first released in 1991, Python's design philosophy emphasizes code readability with its notable use of significant whitespace.|https://res.cloudinary.com/dkxchc0ys/image/upload/v1584024926/language-icons/python_10x_jdh3dm.png|gogo.png
Java|Java is a general-purpose programming language that is class-based, object-oriented, and designed to have as few implementation dependencies as possible.|https://res.cloudinary.com/dkxchc0ys/image/upload/v1584024925/language-icons/java_10x_wky2ke.png|gogo.png
Javascript|JavaScript, often abbreviated as JS, is a programming language that conforms to the ECMAScript specification. JavaScript is high-level, often just-in-time compiled, and multi-paradigm. It has curly-bracket syntax, dynamic typing, prototype-based object-orientation, and first-class functions.|https://res.cloudinary.com/dkxchc0ys/image/upload/v1584024925/language-icons/js_10x_z2nznp.png|gogo.png
C#|C# is a general-purpose, multi-paradigm programming language encompassing strong typing, lexically scoped, imperative, declarative, functional, generic, object-oriented, and component-oriented programming disciplines.|https://res.cloudinary.com/dkxchc0ys/image/upload/v1584024925/language-icons/csharp_10x_tbjvrz.png|gogo.png
PHP|PHP is a popular general-purpose scripting language that is especially suited to web development. It was originally created by Rasmus Lerdorf in 1994; the PHP reference implementation is now produced by The PHP Group.|https://res.cloudinary.com/dkxchc0ys/image/upload/v1584024926/language-icons/php_10x_qjdxqu.png|gogo.png
C/C++|C++ is a high-level, general-purpose programming language created by Bjarne Stroustrup as an extension of the C programming language, or C with Classes.|https://res.cloudinary.com/dkxchc0ys/image/upload/v1584024925/language-icons/cplusplus_10x_j3ng8l.png|gogo.png
Swift|Swift is a general-purpose, multi-paradigm, compiled programming language developed by Apple Inc. for iOS, iPadOS, macOS, watchOS, tvOS, Linux, and z/OS. Swift is designed to work with Apple's Cocoa and Cocoa Touch frameworks and the large body of existing Objective-C code written for Apple products.|https://res.cloudinary.com/dkxchc0ys/image/upload/v1584024926/language-icons/swift_10x_ss2pn7.png|gogo.png
TypeScript|TypeScript is an open-source programming language developed and maintained by Microsoft. It is a strict syntactical superset of JavaScript, and adds optional static typing to the language.|https://res.cloudinary.com/dkxchc0ys/image/upload/v1583425816/language-icons/typescript_10x_yfhffn.png|gogo.png
Ruby|Ruby is an interpreted, high-level, general-purpose programming language. It was designed and developed in the mid-1990s by Yukihiro 'Matz' Matsumoto in Japan.|https://res.cloudinary.com/dkxchc0ys/image/upload/v1584024926/language-icons/ruby_10x_nya6uo.png|gogo.png

Go|Go is a statically typed, compiled programming language designed at Google by Robert Griesemer, Rob Pike, and Ken Thompson. Go is syntactically similar to C, but with memory safety, garbage collection, structural typing, and CSP-style concurrency.|https://res.cloudinary.com/dkxchc0ys/image/upload/v1584024925/language-icons/go_10x_bsgrsi.png|gogo.png
HTML5|HTML5 is a software solution stack that defines the properties and behaviors of web page content by implementing a markup-based pattern to it.|https://res.cloudinary.com/dkxchc0ys/image/upload/v1584024925/language-icons/html5_10x_yojy5e.png|gogo.png
CSS3|Cascading Style Sheets (CSS) is a style sheet language used for describing the presentation of a document written in a markup language like HTML. CSS is a cornerstone technology of the World Wide Web, alongside HTML and JavaScript.|https://res.cloudinary.com/dkxchc0ys/image/upload/v1584024925/language-icons/css3_10x_qfxaju.png|gogo.png
NodeJS|Node.js is an open-source, cross-platform, JavaScript runtime environment that executes JavaScript code outside of a browser. Node.js lets developers use JavaScript to write command line tools and for server-side scripting—running scripts server-side to produce dynamic web page content before the page is sent to the user's web browser.|https://res.cloudinary.com/dkxchc0ys/image/upload/v1584024926/language-icons/nodejs_10x_or08tn.png|gogo.png
PostgreSQL|PostgreSQL, also known as Postgres, is a free and open-source relational database management system (RDBMS) emphasizing extensibility and technical standards compliance. It is designed to handle a range of workloads, from single machines to data warehouses or Web services with many concurrent users.|https://res.cloudinary.com/dkxchc0ys/image/upload/v1584024926/language-icons/postgres_10x_qsoz5e.png|gogo.png
Rails|Ruby on Rails, or Rails, is a server-side web application framework written in Ruby under the MIT License. Rails is a model–view–controller (MVC) framework, providing default structures for a database, a web service, and web pages.|https://res.cloudinary.com/dkxchc0ys/image/upload/v1584024926/language-icons/rails_10x_mkg1ie.png|gogo.png
React|React (also known as React.js or ReactJS) is a JavaScript library for building user interfaces. It is maintained by Facebook and a community of individual developers and companies.|https://res.cloudinary.com/dkxchc0ys/image/upload/v1584024926/language-icons/react_10x_oibktk.png|gogo.png
